ID Kelas,Kode MK,Mata Kuliah,SKS,Kelas,Dosen,Hari,Jam Mulai,Jam Selesai,Ruangan,Prioritas Dosen
57,CIF61339,Pengolahan Citra Digital dan Visi Komputer (Sesi 1),2,A,Randy Cahya Wihandika,rabu,15:20:00,17:50:00,F3.2,1
85,CIF61124,Arsitektur Berbasis Layanan (Sesi 2),2,A,Adam Hendra Brata,rabu,15:20:00,17:50:00,F3.3,1
0,CIF61233,Administrasi sistem server,3,A,Sabriansyah Rizqika Akbar,rabu,15:20:00,17:50:00,F3.4,1
59,CIF63309,Metode Numerik,3,D,Muh. Arif Rahman,rabu,15:20:00,17:50:00,F3.6,1
7,CIF65116,Komputer Grafis,2,A,Herman Tolle,rabu,15:20:00,17:50:00,F4.10,1
172,CIF63207,Jaringan Komputer (Sesi 2),2,E,Reza Andria Siregar,rabu,16:00:00,17:40:00,F2.6,1
30,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,G,Eko Sakti Pramukantoro,rabu,16:00:00,17:40:00,F3.10,1
20,COM60014,Pemrograman Dasar (Sesi 2),2,D,Randy Cahya Wihandika,kamis,07:00:00,08:40:00,F2.6,1
81,CIF65319,Statistika inferensi,2,G,Marji,kamis,07:00:00,09:30:00,F3.10,1
162,CIF63108,Interaksi Manusia dan Komputer,2,C,Ratih Kartika Dewi,kamis,07:00:00,08:40:00,F3.15,1
113,COM60004,Algoritma dan Struktur Data,3,G,Edy Santoso,kamis,07:00:00,09:30:00,F3.16,1
42,COM60014,Pemrograman Dasar (Sesi 1),3,A,Achmad Ridok,kamis,07:00:00,08:40:00,F4.12,1
127,CIF63110,Kecerdasan Artifisial,2,G,Arief Andy Soebroto,kamis,08:45:00,11:15:00,F2.1,1
47,CIF61302,Statistika dan Teori Peluang,2,G,Wijaya Kurniawan,kamis,08:45:00,11:15:00,F4.11,1
154,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,A,Denny Sagita Rusdianto,kamis,08:45:00,10:25:00,F4.14,1
71,COM60011,Arsitektur dan Organisasi Komputer,2,B,Dany Primanita Kartikasari,kamis,08:45:00,11:15:00,F4.5,1
114,CIF61302,Statistika dan Teori Peluang,2,A,Achmad Basuki,kamis,08:45:00,11:15:00,F4.8,2
115,COM60016,Pengenalan Keilmuan Komputer,2,E,Edy Santoso,kamis,09:35:00,12:05:00,F2.4,1
58,CIF61339,Pengolahan Citra Digital dan Visi Komputer (Sesi 2),2,A,Randy Cahya Wihandika,kamis,09:35:00,12:05:00,F2.5,1
50,CIF65217,Jaringan Nirkabel,3,G,Primantara Hari Trisnawan,kamis,09:35:00,12:05:00,F2.9,1
132,COM60014,Pemrograman Dasar (Sesi 2),2,F,Bayu Priyambadha,kamis,09:35:00,12:05:00,F3.1,2
16,CIF65217,Jaringan Nirkabel,3,A,Dany Primanita Kartikasari,kamis,12:30:00,15:00:00,F2.1,1
64,CIF61125,Pemrograman Gim (Sesi 2),2,A,Agi Putra Kharisma,kamis,12:30:00,15:00:00,F3.13,2
169,CIF63207,Jaringan Komputer (Sesi 2),2,B,Reza Andria Siregar,kamis,12:30:00,15:00:00,F3.8,1
158,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,D,Nurudin Santoso,kamis,12:30:00,15:00:00,F4.1,1
117,COM60011,Arsitektur dan Organisasi Komputer,2,F,Rakhmadhany Primananda,kamis,14:15:00,15:55:00,F3.15,1
28,CIF63108,Interaksi Manusia dan Komputer,2,F,Lutfi Fanani,kamis,14:15:00,15:55:00,F3.7,1
74,COM60004,Algoritma dan Struktur Data,3,E,Achmad Ridok,kamis,15:20:00,17:00:00,F2.6,1
111,COM60004,Algoritma dan Struktur Data,3,C,Budi Darma Setiawan,kamis,15:20:00,17:00:00,F3.1,1
100,CIF63207,Jaringan Komputer (Sesi 2),2,D,Primantara Hari Trisnawan,kamis,15:20:00,17:00:00,F4.10,1
32,CIF65319,Statistika inferensi,2,E,Marji,kamis,15:20:00,17:50:00,F4.7,1
